axis,full_gen_bias,full_gen_bias_mean_emotion,template_count,descriptor_count
None,0.0,0.0,11,1
ability,41.944028281429155,1.4980010100510412,756,64
age,54.41485176992488,1.9433875632116022,641,60
body_type,135.39224370967312,4.835437275345468,958,149
characteristics,50.32193904405683,1.7972121087163146,1042,88
cultural,34.69966290712294,1.2392736752543916,331,24
gender_and_sex,55.99590572830618,1.9998537760109354,548,46
nationality,14.878140977597285,0.5313621777713315,313,24
nonce,9.97684138229943,0.35631576365355117,127,8
political_ideologies,27.916277614456067,0.9970099148020029,344,25
race_ethnicity,27.816648773889533,0.9934517419246266,394,30
religion,39.314659412764904,1.4040949790273192,485,39
sexual_orientation,16.434816561738618,0.586957734347808,251,17
socioeconomic_class,15.705209831558594,0.5609003511270927,357,24
