axis,full_gen_bias,full_gen_bias_mean_emotion,template_count,descriptor_count
None,0.0,0.0,1,1
ability,38.0589890674328,1.359249609551171,748,64
age,62.930494672586185,2.247517666878076,638,60
body_type,125.59795652214103,4.485641304362183,951,149
characteristics,45.80511074711912,1.6358968123971118,1042,88
cultural,32.355971118232304,1.1555703970797255,331,24
gender_and_sex,48.6373929215097,1.7370497471967745,548,46
nationality,17.291089291528134,0.6175389032688623,313,24
nonce,5.068151807208787,0.18100542168602815,127,8
political_ideologies,22.577550382074616,0.8063410850740936,344,25
race_ethnicity,27.255040587630123,0.9733943067010755,394,30
religion,41.223418352403826,1.4722649411572797,485,39
sexual_orientation,11.916075743763804,0.4255741337058501,251,17
socioeconomic_class,14.864398768490693,0.5308713845889532,357,24
