axis,bucket,count,mean_sentiment_compound,std_sentiment_compound,mean_sentiment_score,std_sentiment_score,mean_toxicity_probability_toxic,std_toxicity_probability_toxic,mean_toxicity_score,std_toxicity_score
gender,American_actors,865,0.3027166473988439,0.540097602355135,0.6513583236994219,0.2700488011775676,0.025765588146908953,0.11856955822528904,0.025765588146908953,0.11856955822528904
gender,American_actresses,488,0.3925196721311475,0.5199322037844266,0.6962598360655738,0.2599661018922133,0.04002873690204397,0.162156238960397,0.04002873690204397,0.162156238960397
political_ideology,anarchism,67,0.1175910447761194,0.541982994178964,0.5587955223880597,0.270991497089482,0.0416623475316759,0.17001091998162218,0.0416623475316759,0.17001091998162218
political_ideology,capitalism,37,0.23785405405405405,0.556779483375697,0.6189270270270271,0.2783897416878485,0.047457927279488964,0.12458509004062175,0.047457927279488964,0.12458509004062175
political_ideology,communism,54,-0.17557407407407408,0.5338835196208171,0.41221296296296295,0.2669417598104086,0.1304517922948839,0.2607196824684128,0.1304517922948839,0.2607196824684128
political_ideology,conservatism,39,0.19107179487179488,0.5829573108631532,0.5955358974358974,0.2914786554315766,0.12428389025183442,0.26442554290972864,0.12428389025183442,0.26442554290972864
political_ideology,democracy,144,0.28821041666666664,0.47226990752647996,0.6441052083333333,0.23613495376323995,0.032488986129869266,0.13731711320065973,0.032488986129869266,0.13731711320065973
political_ideology,fascism,49,-0.15272857142857144,0.5736129745597927,0.4236357142857143,0.2868064872798963,0.11335715371402627,0.21321867447533271,0.11335715371402627,0.21321867447533271
political_ideology,left-wing,48,0.03771458333333333,0.644991423657177,0.5188572916666666,0.3224957118285885,0.05490549673049827,0.16703454432385412,0.05490549673049827,0.16703454432385412
political_ideology,liberalism,38,0.4126421052631579,0.5871500764142724,0.706321052631579,0.29357503820713615,0.005886948116025643,0.020868474142529268,0.005886948116025643,0.020868474142529268
political_ideology,nationalism,191,0.03643612565445026,0.5882778437758317,0.5182180628272252,0.29413892188791585,0.10726422976906026,0.2395817162840361,0.10726422976906026,0.2395817162840361
political_ideology,populism,25,-0.254008,0.6066818955872454,0.372996,0.3033409477936227,0.10842574250884354,0.18476915974154373,0.10842574250884354,0.18476915974154373
political_ideology,right-wing,35,0.03239428571428571,0.6752037504874132,0.5161971428571429,0.33760187524370655,0.12912047117715703,0.22333806913972837,0.12912047117715703,0.22333806913972837
political_ideology,socialism,109,0.1529954128440367,0.5393210202181382,0.5764977064220184,0.2696605101090691,0.07554607755566495,0.1987065678925634,0.07554607755566495,0.1987065678925634
profession,artistic_occupations,183,0.1667743169398907,0.5533518340521192,0.5833871584699454,0.2766759170260596,0.05732855071915476,0.1634687254824809,0.05732855071915476,0.1634687254824809
profession,computer_occupations,88,0.34971363636363634,0.48494813235672946,0.6748568181818182,0.24247406617836476,0.03400984461570095,0.14104273824194177,0.03400984461570095,0.14104273824194177
profession,corporate_titles,42,0.5192023809523809,0.49557571225753055,0.7596011904761905,0.24778785612876528,0.048648241063347086,0.17097105617155672,0.048648241063347086,0.17097105617155672
profession,dance_occupations,264,0.16204924242424243,0.536605263433626,0.5810246212121212,0.26830263171681284,0.0635904495098988,0.16816815933730278,0.0635904495098988,0.16816815933730278
profession,engineering_branches,1318,0.1391496206373293,0.489281269185435,0.5695748103186646,0.24464063459271745,0.032257324364416126,0.13264470368933676,0.032257324364416126,0.13264470368933676
profession,entertainer_occupations,187,0.129803743315508,0.5474197335348183,0.5649018716577541,0.2737098667674092,0.0841347371619618,0.2044737158104976,0.0841347371619618,0.2044737158104976
profession,film_and_television_occupations,103,0.03924757281553398,0.637483734178442,0.519623786407767,0.318741867089221,0.13028629518507356,0.2401414026269316,0.13028629518507356,0.2401414026269316
profession,healthcare_occupations,224,0.18897410714285715,0.5200181414126843,0.5944870535714285,0.26000907070634216,0.05574330425094688,0.17722706868838278,0.05574330425094688,0.17722706868838278
profession,industrial_occupations,45,0.02436222222222223,0.6473262740931447,0.5121811111111111,0.32366313704657235,0.14748980086038097,0.2839007863688184,0.14748980086038097,0.2839007863688184
