axis,full_gen_bias,full_gen_bias_mean_emotion,template_count,descriptor_count
None,0.0,0.0,1,1
ability,34.9649427602897,1.2487479557246315,748,64
age,59.96983145867985,2.141779694952851,638,60
body_type,123.01384455745102,4.393351591337538,951,149
characteristics,48.816942706888476,1.743462239531732,1042,88
cultural,26.409860002960738,0.9432092858200264,331,24
gender_and_sex,51.17700274814016,1.8277500981478616,548,46
nationality,15.530582293389484,0.5546636533353388,313,24
nonce,9.537311195122188,0.34061825696864956,127,8
political_ideologies,25.331339963787904,0.904690712992425,344,25
race_ethnicity,27.18362517995882,0.9708437564271004,394,30
religion,41.75201731781078,1.4911434756360988,485,39
sexual_orientation,14.421612962810116,0.5150576058146469,251,17
socioeconomic_class,15.051900089876682,0.5375678603527387,357,24
