axis,full_gen_bias,full_gen_bias_mean_emotion,template_count,descriptor_count
None,0.0,0.0,1,1
ability,40.27093420206469,1.4382476500737384,748,64
age,55.21296380663904,1.971891564522823,638,60
body_type,131.62011564381146,4.700718415850411,951,149
characteristics,46.85266275141578,1.6733093839791344,1042,88
cultural,25.271813579363805,0.902564770691564,331,24
gender_and_sex,46.87106281086441,1.6739665289594416,548,46
nationality,21.068358882190317,0.7524413886496544,313,24
nonce,7.628279932413959,0.2724385690147842,127,8
political_ideologies,24.480702368890526,0.8743107988889475,344,25
race_ethnicity,26.292847854144362,0.9390302805051557,394,30
religion,41.349022839554436,1.4767508156983735,485,39
sexual_orientation,16.418726046160998,0.5863830730771784,251,17
socioeconomic_class,13.066729251471848,0.4666689018382802,357,24
