axis,bucket,count,mean_max_emotion_probability,std_max_emotion_probability,mean_prob_admiration,std_prob_admiration,mean_prob_amusement,std_prob_amusement,mean_prob_anger,std_prob_anger,mean_prob_annoyance,std_prob_annoyance,mean_prob_approval,std_prob_approval,mean_prob_caring,std_prob_caring,mean_prob_confusion,std_prob_confusion,mean_prob_curiosity,std_prob_curiosity,mean_prob_desire,std_prob_desire,mean_prob_disappointment,std_prob_disappointment,mean_prob_disapproval,std_prob_disapproval,mean_prob_disgust,std_prob_disgust,mean_prob_embarrassment,std_prob_embarrassment,mean_prob_excitement,std_prob_excitement,mean_prob_fear,std_prob_fear,mean_prob_gratitude,std_prob_gratitude,mean_prob_grief,std_prob_grief,mean_prob_joy,std_prob_joy,mean_prob_love,std_prob_love,mean_prob_nervousness,std_prob_nervousness,mean_prob_optimism,std_prob_optimism,mean_prob_pride,std_prob_pride,mean_prob_realization,std_prob_realization,mean_prob_relief,std_prob_relief,mean_prob_remorse,std_prob_remorse,mean_prob_sadness,std_prob_sadness,mean_prob_surprise,std_prob_surprise,mean_prob_neutral,std_prob_neutral
None,(none),16,0.5535664577037096,0.17780549212578295,0.13799009000649676,0.2169108314367676,0.0016454506203444907,0.0016981294570760394,0.008519695518771186,0.016283486508300273,0.046646371847600676,0.08830254102728582,0.12100116536021233,0.14671480251275354,0.04500391805777326,0.09841590425942977,0.07614793587345048,0.17112415650211218,0.03731893350050086,0.09373114053781283,0.13500163872231496,0.2443714835863776,0.05804711111704819,0.08677980322101765,0.09800930955680087,0.22138373390052066,0.0034134899542550556,0.0026069434147168646,0.002274321917866473,0.0021977033348304824,0.004470133022550726,0.006326610961141037,0.004021004675450968,0.005779669878580649,0.002967435408208985,0.004043661431222962,0.0026193306366621982,0.0040088814221278584,0.013487118907505646,0.03749818360448081,0.0829527415917255,0.21991671517019548,0.006073796506825602,0.012125423472210474,0.020873043569736183,0.018940371986419735,0.00253359718954016,0.0025580901797828404,0.040143994614481926,0.08314633376841217,0.002914064476499334,0.002568340250971782,0.003226533035558532,0.0031195509478374314,0.10292281996953534,0.24651529063647096,0.0024137310283549596,0.003306320601488646,0.16444045002572238,0.09416382446500303
ability,(none),544,0.5891287916148191,0.18671538408070748,0.039752239342573485,0.13121251847094234,0.00824448080990859,0.059662824733538435,0.011007347743864504,0.03561335690012551,0.06531426226480536,0.11178558658814809,0.07935659790425287,0.11533677476906165,0.041452693709181726,0.11890029072843888,0.11864158797855934,0.22055181519319433,0.06895488824466156,0.14792981569060307,0.07858936309891279,0.18529051858876952,0.08102049204064636,0.13430151482920877,0.06549493451529997,0.12287840685996888,0.008229871144602144,0.037786953395973606,0.011423045976671882,0.0627344694339921,0.006900157568077916,0.03834723939784227,0.014620491819882505,0.07417975066557206,0.0055584871997245286,0.05908035721037331,0.0023843088133082132,0.00344263139307795,0.010260179408332452,0.044298186050075496,0.03132923767054094,0.13949863837101556,0.015832421309034866,0.04163031452486544,0.02630569079209475,0.06168453617040128,0.002713808356682367,0.019119209571721984,0.04128187671534868,0.06144023826067244,0.004068988945752661,0.010882409580051332,0.006540547156205053,0.029124230767111382,0.05999938306114713,0.12718799931160232,0.010296593889587017,0.05796959266541264,0.3041325977169703,0.26306780210613917
ability,auditory,68,0.6178153091493774,0.20103482633557673,0.06891763688455445,0.17933412927408818,0.013356768367777798,0.09409699774945328,0.008792461865917122,0.021001045740988208,0.06111587060834555,0.11672612653333851,0.0714662186390556,0.12390595737148472,0.013513050579657668,0.029315021254031116,0.08822023970509797,0.1938049759560209,0.04439786292299258,0.1056182983963614,0.0761674275409485,0.18709308090152507,0.09793187710045673,0.14459977977956126,0.07520134230007362,0.13322381006373646,0.004606770903645905,0.0051079858579110085,0.004341002918355276,0.006717667790309639,0.007727549407932469,0.02936750725908013,0.019871506769371026,0.10448904980045748,0.0409940355716304,0.175979800269751,0.0029144951819462758,0.0045244968613022355,0.009482455737751853,0.022935621090855063,0.04196965071519919,0.1704752589432371,0.01348009008442579,0.03115756085663195,0.02966962121803697,0.09942094774766855,0.006883006313193405,0.03922475937094319,0.040097840370007735,0.04905849941573095,0.004235183120352517,0.008392692094838915,0.01211576042645474,0.06006935720408506,0.08498257017601966,0.17333776143269397,0.005111853292927502,0.01236770438808463,0.2923605730620158,0.2876024286311118
ability,intellectual_and_developmental,17,0.5700107795350692,0.2157446991455338,0.05777941905099022,0.16941944152839739,0.0013894134522963535,0.0007088234180792652,0.023192164816838855,0.05294228034804273,0.11137984630049151,0.15460059617221822,0.10364315308192197,0.1441446343663808,0.03629176507649176,0.07633950751228138,0.13913175189758048,0.27567267001599177,0.014407050525358714,0.028787520977646985,0.16374925319927142,0.2758654348526357,0.11614113217493628,0.15982647511629244,0.08195061231141582,0.08494157952642081,0.005637069431352703,0.0047670901753937124,0.003725793938535978,0.0035967628047733763,0.0035025961115024984,0.0030758783349283023,0.004644355175140149,0.005340611537650775,0.0034660681823665716,0.004518827902893767,0.0027942897560184494,0.0053885001132352025,0.007884545554749338,0.010049239019327394,0.05764417663928779,0.21051076282547937,0.0076027565724764235,0.009024540807465356,0.046008554643348736,0.06601967606756508,0.0033926110139445346,0.0059515115337807805,0.030009311569087645,0.03175416280501084,0.0064296604729914926,0.014778907486378043,0.004089844132335309,0.002696176339244515,0.07330245060353156,0.2011461819752545,0.002327987568124252,0.002137978743083204,0.1466831139781896,0.08807797204125091
ability,mobility,85,0.577669307589531,0.1733461189392083,0.03778653047321474,0.10543839080576388,0.0027712027802515556,0.006521713655984854,0.0107580078067258,0.022585766503829548,0.05700215219026979,0.0981820401940937,0.0817612304516575,0.11242763677330121,0.04384390281732468,0.10538100001244505,0.10326451559496276,0.19235309514148002,0.07218386534574057,0.15301565710863224,0.08705550774603206,0.19223314897366436,0.0817414075245752,0.1295189907616785,0.057311678324442575,0.11075882036046424,0.00718046473681598,0.027286050291340725,0.005843068655539195,0.021330085756064685,0.003919854104820201,0.004187387355751488,0.015573502574732308,0.08257079814362935,0.013000406873898635,0.09848908437713277,0.003301642679006738,0.00450041310736793,0.03335492322769235,0.10788134707914876,0.06936984182479243,0.2200016057624959,0.014033598461708822,0.041384736212189493,0.029447190377258643,0.08715991861320067,0.0025314780623268557,0.006372637159102156,0.04462167797336245,0.08859119399776405,0.0069047059700310725,0.011514513801622678,0.015477252445142607,0.07384382920907903,0.0916151625706869,0.16496060683283492,0.0033192215709919658,0.004216451050328976,0.26064820018980434,0.22856920291521063
ability,neurological,119,0.5551634646263444,0.1744065590037373,0.09089178843775905,0.20332381456469276,0.001945048215761859,0.0021142628046734047,0.012128799813779994,0.027927878233602942,0.067759680274107,0.11230063182130288,0.11811935333456813,0.15006665372424327,0.024541378692829467,0.06877831311825162,0.13484742314732798,0.22516680285164078,0.05710503851071376,0.12317506284138842,0.08314014795997392,0.20106710420557336,0.0743414928633798,0.12579548034671423,0.0715888179075599,0.1019031079400165,0.006498328358240175,0.013877510893511226,0.005271218513126853,0.009929981665312783,0.004844425707867667,0.011852977194995522,0.008436351829891274,0.027071842273540567,0.0023243443050153727,0.0026688213904243405,0.002185172269178531,0.002624154556418699,0.008464591915155723,0.025506971756373654,0.03558907699389696,0.15120425142999888,0.01570487033784636,0.05379381636475847,0.024117089805052373,0.03953747456620425,0.00493745577811193,0.02992964986853869,0.07257150904032864,0.1254777844831575,0.004936986233786672,0.01208356768909832,0.009198044977144009,0.053567559130659984,0.04975701783276985,0.11634837341560816,0.013364176850906816,0.0685200424899075,0.23302867762869647,0.20795699371159837
ability,speech,51,0.6011119242392334,0.19549204612914858,0.03630034260305704,0.1307761115872195,0.0018507120617227081,0.0011851325938892461,0.0154850140907893,0.025541013287164488,0.10207379082509992,0.15961769202677273,0.07456598338652767,0.10885334621312272,0.03705371933413998,0.09570451039420998,0.18231064179460243,0.28382796786463643,0.05698377060060225,0.12222188295498558,0.07170924628564321,0.1857120753473605,0.12725185402258135,0.19818680298324204,0.06361957093216844,0.0953610370834639,0.005988304905009036,0.0065059123358662384,0.005537047259470758,0.005800123092671002,0.0033044427628720215,0.00297592041406612,0.04105354486177128,0.15771435404128262,0.002250660364926957,0.00221306225748299,0.001992107111636513,0.00196149658005087,0.005487066558927444,0.011619653824239778,0.03972738104451256,0.1786227553888795,0.02486567737251593,0.05507078016574651,0.020420856004599117,0.024454810737798195,0.00117546148905211,0.0012819378907486044,0.05594574271098656,0.08404554267949298,0.0025884461630245343,0.002225584208087829,0.00466096161050932,0.00479116894509262,0.055504847273422295,0.11058178844049071,0.0038295164998214436,0.0039025517144353353,0.23347356305548958,0.2315466745976718
ability,unspecific,102,0.5939396841853273,0.18801381439232687,0.019783639093956855,0.08043246129327676,0.001594042270809558,0.001056434469609075,0.010495409326098276,0.02566932859823994,0.05505231630933635,0.08645981112439448,0.08599332944654367,0.12804838673416652,0.040239277427591494,0.10679418823549297,0.11991643331152861,0.22602578156895287,0.03264983541756759,0.09866571946274422,0.11954927253000457,0.24380409570428252,0.09808523679955625,0.14532953811995952,0.08878321992233396,0.16003071898494853,0.005788786428085729,0.010433061331315881,0.004774954897299062,0.007388070404472825,0.0030618519057159076,0.003317256079542372,0.032769299623574694,0.13637715169434317,0.010548276564091508,0.0787017525946795,0.003047535434198639,0.0039505058873316795,0.007407679708729333,0.018135399006491745,0.013954304502226924,0.09281594202789314,0.020994698350014183,0.04776173823079432,0.029327855951052306,0.05680811776719888,0.0060585986073633915,0.031714127766491344,0.044414215958585926,0.060590140757948455,0.0058336652210153475,0.01222300881359875,0.006154594979449815,0.008353518956018161,0.08528826478240993,0.1686545365354329,0.008563467395302438,0.05909008456232021,0.2645930583205293,0.24345933131704645
ability,visual,69,0.6169169683387314,0.15758929393951612,0.02876618082392151,0.1062438899967628,0.0015207694204814354,0.0009436960811434879,0.014358852003815759,0.05874235197623294,0.04276629367613814,0.08413232098036706,0.10325944155751579,0.16956241968000912,0.038690312358928655,0.13419908409527967,0.11671393156470056,0.20844041174650782,0.10724757955261115,0.1953033945689605,0.06508145959494446,0.17160584003922014,0.05666265273095527,0.12403753448453522,0.08581574721788258,0.1674365391125403,0.01039415631026529,0.04595655880348105,0.0025050324106089556,0.0030445784835783493,0.0029414205051000245,0.0031228462267084006,0.0056521346441645555,0.011858203183954322,0.013634023153260216,0.09754951243052659,0.0019335396076633554,0.0037284905905253978,0.0032193673090449115,0.004299020285269134,0.006195412049461426,0.02582316964436203,0.008816509838916187,0.023499648696478578,0.024311740573941042,0.04199593655391922,0.0010660837525274078,0.0018744241017144918,0.03834292209248288,0.07174248283248631,0.002555061593370013,0.0037256884296129346,0.003555191628486458,0.005154733272216909,0.05312018120658003,0.1573107858580993,0.007974104328161997,0.03071418297308314,0.35185878877730475,0.26055610207979285
age,(none),16,0.5208048298954964,0.18198455802655217,0.006011323683196679,0.004431942846088844,0.0027331477285770234,0.0025087896248423545,0.0034329686241107993,0.0015909381074128788,0.023511321254773065,0.017680114849977942,0.05432118766475469,0.07936902791875504,0.02106813072168734,0.03542125965643657,0.1259648053382989,0.1967065481022174,0.10298513033558265,0.20626244633947613,0.12727221948443912,0.21229485925682648,0.09591688337241067,0.11491534792855466,0.03010981236002408,0.03703197989618717,0.003876656926877331,0.003743811367986296,0.0037883377117395867,0.0038523708986793986,0.08758283064162242,0.15945112482362608,0.010025464438513154,0.013111673775813553,0.0015159936374402605,0.001013871537995306,0.004037055017761304,0.007073461517520151,0.015910043748590397,0.021118142974729328,0.007043533641990507,0.005460711714923334,0.04516840343057993,0.09189606985152585,0.035328726953594014,0.05516832076162122,0.0013106009503189853,0.0007391231070980319,0.03974948581890203,0.03424975192507558,0.00457590165297006,0.004146439540485561,0.00770100103909499,0.009184146337951919,0.10106362342776265,0.1865654038038393,0.010954456756735453,0.02102659629589607,0.22476309316698462,0.2575160766794019
