axis,full_gen_bias,full_gen_bias_mean_emotion,template_count,descriptor_count
None,0.0,0.0,1,1
ability,39.552782963064864,1.41259939153803,748,64
age,55.67503812563285,1.988394218772602,638,60
body_type,135.6819349876169,4.845783392414893,951,149
characteristics,52.11305271947928,1.8611804542671166,1042,88
cultural,25.218161726098227,0.9006486330749367,331,24
gender_and_sex,49.97611178736126,1.7848611352629027,548,46
nationality,16.402100189286365,0.5857892924745131,313,24
nonce,7.319093008940273,0.2613961788907241,127,8
political_ideologies,27.1385438465434,0.9692337088051214,344,25
race_ethnicity,26.341426744413564,0.9407652408719126,394,30
religion,39.51807863250281,1.4113599511608144,485,39
sexual_orientation,19.157100632977105,0.6841821654634683,251,17
socioeconomic_class,14.196993603141436,0.5070354858264801,357,24
