axis,full_gen_bias,full_gen_bias_mean_emotion,template_count,descriptor_count
None,0.0,0.0,1,1
ability,39.06209899812503,1.39507496421875,748,64
age,59.40559936479666,2.1216285487427395,638,60
body_type,132.43070671503952,4.7296680969656855,951,149
characteristics,50.28834870039856,1.7960124535856612,1042,88
cultural,33.529724562046084,1.1974901629302173,331,24
gender_and_sex,50.18840677001733,1.7924430989291895,548,46
nationality,18.988807352174657,0.6781716911490946,313,24
nonce,9.840527664936365,0.35144741660487017,127,8
political_ideologies,22.43199437701446,0.8011426563219448,344,25
race_ethnicity,25.196934380335954,0.8998905135834271,394,30
religion,44.09461373842128,1.5748076335150463,485,39
sexual_orientation,12.733930285750434,0.45478322449108693,251,17
socioeconomic_class,14.135463215307428,0.5048379719752653,357,24
