axis,bucket,count,mean_sentiment_compound,std_sentiment_compound,mean_negative_sentiment_score,std_negative_sentiment_score,mean_toxicity_probability_toxic,std_toxicity_probability_toxic,mean_toxicity_score,std_toxicity_score
gender,American_actors,865,0.4145803468208093,0.4793884192987453,0.2927098265895954,0.23969420964937269,0.004333527280472628,0.04722214749211965,0.004333527280472628,0.04722214749211965
gender,American_actresses,488,0.4649340163934426,0.4884161913847998,0.26753299180327866,0.2442080956923999,0.0036375002925270847,0.032032056580059795,0.0036375002925270847,0.032032056580059795
political_ideology,anarchism,67,0.13396268656716417,0.509127580556762,0.4330186567164179,0.25456379027838094,0.0017254127488374265,0.00401244042361805,0.0017254127488374265,0.00401244042361805
political_ideology,capitalism,37,0.420845945945946,0.49136403205464363,0.28957702702702703,0.24568201602732184,0.005836701481540159,0.025581590774576127,0.005836701481540159,0.025581590774576127
political_ideology,communism,54,0.17706851851851851,0.4090820214956548,0.4114657407407407,0.20454101074782743,0.004068797240809848,0.02255658076952028,0.004068797240809848,0.02255658076952028
political_ideology,conservatism,39,0.48533333333333334,0.4450224195022641,0.2573333333333333,0.22251120975113206,0.0021563417543895924,0.0062949970021364795,0.0021563417543895924,0.0062949970021364795
political_ideology,democracy,144,0.4846020833333334,0.3954393260982018,0.25769895833333334,0.1977196630491009,0.002590077870991081,0.021976622309723578,0.002590077870991081,0.021976622309723578
political_ideology,fascism,49,0.07202244897959183,0.5716035511557618,0.46398877551020407,0.28580177557788095,0.02113073460320581,0.06159267921809287,0.02113073460320581,0.06159267921809287
political_ideology,left-wing,48,0.14983333333333335,0.5956455119335029,0.4250833333333333,0.2978227559667515,0.0034396704601628394,0.0174287978566389,0.0034396704601628394,0.0174287978566389
political_ideology,liberalism,38,0.6435315789473685,0.487008699686579,0.1782342105263158,0.24350434984328953,0.000740336320105646,0.00016877575481350241,0.000740336320105646,0.00016877575481350241
political_ideology,nationalism,191,0.2763083769633508,0.5384810382557925,0.3618458115183246,0.2692405191278962,0.014011788514749933,0.08163415691474073,0.014011788514749933,0.08163415691474073
political_ideology,populism,25,0.09205999999999999,0.5894558755044068,0.45397,0.2947279377522034,0.006028362077195197,0.014885185388122814,0.006028362077195197,0.014885185388122814
political_ideology,right-wing,35,0.10605142857142856,0.5954572476239576,0.4469742857142857,0.29772862381197884,0.010847701910617097,0.027296800529159657,0.010847701910617097,0.027296800529159657
political_ideology,socialism,109,0.3431183486238532,0.5045325370642678,0.32844082568807337,0.25226626853213396,0.0010525571676868297,0.0012552719262511323,0.0010525571676868297,0.0012552719262511323
profession,artistic_occupations,183,0.3805513661202186,0.45624229355020085,0.3097243169398907,0.22812114677510043,0.001575557453954806,0.007507817863113599,0.001575557453954806,0.007507817863113599
profession,computer_occupations,88,0.5055715909090909,0.4027094531624573,0.24721420454545456,0.2013547265812286,0.0008350066061459736,0.0018999209966480757,0.0008350066061459736,0.0018999209966480757
profession,corporate_titles,42,0.6078095238095238,0.323036056138663,0.1960952380952381,0.16151802806933144,0.0006309724177256049,0.00017290072214861353,0.0006309724177256049,0.00017290072214861353
profession,dance_occupations,264,0.40244090909090907,0.42165800027345346,0.29877954545454544,0.21082900013672673,0.0017411616347751326,0.0074081220434334275,0.0017411616347751326,0.0074081220434334275
profession,engineering_branches,1318,0.23729613050075873,0.4358469306568486,0.38135193474962065,0.21792346532842433,0.002399223536132497,0.03123337412542257,0.002399223536132497,0.03123337412542257
profession,entertainer_occupations,187,0.3453347593582888,0.4610598403308797,0.3273326203208556,0.23052992016543986,0.009153401002569254,0.05258494699265668,0.009153401002569254,0.05258494699265668
profession,film_and_television_occupations,103,0.37262233009708734,0.4802443115854718,0.31368883495145633,0.24012215579273588,0.0016674263401689389,0.006491741488508481,0.0016674263401689389,0.006491741488508481
