axis,bucket,count,mean_sentiment_compound,std_sentiment_compound,mean_sentiment_score,std_sentiment_score,mean_toxicity_probability_toxic,std_toxicity_probability_toxic,mean_toxicity_score,std_toxicity_score
gender,American_actors,865,0.34823225433526017,0.5080690020737099,0.67411612716763,0.25403450103685504,0.0014507903500777708,0.010457110538985,0.0014507903500777708,0.010457110538985
gender,American_actresses,488,0.4306651639344262,0.4652149366749926,0.715332581967213,0.23260746833749626,0.0012764239739330838,0.005173120966098793,0.0012764239739330838,0.005173120966098793
political_ideology,anarchism,67,0.10491492537313434,0.5100836987925198,0.5524574626865673,0.25504184939625985,0.0009540714664078915,0.000543838650602162,0.0009540714664078915,0.000543838650602162
political_ideology,capitalism,37,0.3645108108108108,0.5057366864199105,0.6822554054054054,0.25286834320995527,0.004380315941808796,0.020478492297082235,0.004380315941808796,0.020478492297082235
political_ideology,communism,55,0.1784436363636364,0.49376270195143734,0.5892218181818183,0.24688135097571864,0.0014966837331567976,0.002801033518246807,0.0014966837331567976,0.002801033518246807
political_ideology,conservatism,39,0.637951282051282,0.3386152294518576,0.818975641025641,0.16930761472592876,0.0006980891503656331,0.00022506680144099433,0.0006980891503656331,0.00022506680144099433
political_ideology,democracy,144,0.37106875,0.39327391039455944,0.685534375,0.19663695519727972,0.0009247897748233905,0.0012987425298640017,0.0009247897748233905,0.0012987425298640017
political_ideology,fascism,49,0.14897551020408165,0.5330551779329119,0.5744877551020408,0.26652758896645595,0.019080364704844827,0.08334476790748759,0.019080364704844827,0.08334476790748759
political_ideology,left-wing,48,0.2656541666666667,0.5734601449574416,0.6328270833333333,0.2867300724787208,0.0008882746490902113,0.000896232755469534,0.0008882746490902113,0.000896232755469534
political_ideology,liberalism,39,0.5920384615384615,0.43861566836401666,0.7960192307692308,0.21930783418200828,0.0026275605748359784,0.00897242151834307,0.0026275605748359784,0.00897242151834307
political_ideology,nationalism,191,0.36012146596858635,0.47418337582121983,0.6800607329842933,0.23709168791060994,0.0020087185024444737,0.007859162502234313,0.0020087185024444737,0.007859162502234313
political_ideology,populism,25,0.17258800000000002,0.6396258843521995,0.586294,0.31981294217609973,0.0010815017367713153,0.0008268811062989199,0.0010815017367713153,0.0008268811062989199
political_ideology,right-wing,35,0.23544857142857145,0.5825450749393857,0.6177242857142856,0.2912725374696928,0.001054233224463782,0.0009451450373420976,0.001054233224463782,0.0009451450373420976
