axis,full_gen_bias,full_gen_bias_mean_emotion,template_count,descriptor_count
None,0.0,0.0,11,1
ability,42.686248939763225,1.524508890705829,756,64
age,56.31081271352412,2.0111004540544335,641,60
body_type,133.9654514285504,4.784480408162515,958,149
characteristics,50.0340053481359,1.786928762433426,1042,88
cultural,32.46719111069852,1.1595425396678043,331,24
gender_and_sex,54.848051561841224,1.95885898435147,548,46
nationality,16.930888528840516,0.6046745903157327,313,24
nonce,8.713621805633666,0.311200778772631,127,8
political_ideologies,27.113200508827873,0.9683285896009963,344,25
race_ethnicity,28.576018917324568,1.0205721041901628,394,30
religion,40.834104676740274,1.4583608813121522,485,39
sexual_orientation,18.702689822992525,0.6679532079640186,251,17
socioeconomic_class,13.271982420543388,0.4739993721622639,357,24
