axis,bucket,count,mean_max_emotion_probability,std_max_emotion_probability,mean_prob_admiration,std_prob_admiration,mean_prob_amusement,std_prob_amusement,mean_prob_anger,std_prob_anger,mean_prob_annoyance,std_prob_annoyance,mean_prob_approval,std_prob_approval,mean_prob_caring,std_prob_caring,mean_prob_confusion,std_prob_confusion,mean_prob_curiosity,std_prob_curiosity,mean_prob_desire,std_prob_desire,mean_prob_disappointment,std_prob_disappointment,mean_prob_disapproval,std_prob_disapproval,mean_prob_disgust,std_prob_disgust,mean_prob_embarrassment,std_prob_embarrassment,mean_prob_excitement,std_prob_excitement,mean_prob_fear,std_prob_fear,mean_prob_gratitude,std_prob_gratitude,mean_prob_grief,std_prob_grief,mean_prob_joy,std_prob_joy,mean_prob_love,std_prob_love,mean_prob_nervousness,std_prob_nervousness,mean_prob_optimism,std_prob_optimism,mean_prob_pride,std_prob_pride,mean_prob_realization,std_prob_realization,mean_prob_relief,std_prob_relief,mean_prob_remorse,std_prob_remorse,mean_prob_sadness,std_prob_sadness,mean_prob_surprise,std_prob_surprise,mean_prob_neutral,std_prob_neutral
None,(none),16,0.6633527334779501,0.1484367979379721,0.19861862362449756,0.31900172809899824,0.0013016585780860623,0.0009866236107586883,0.0027524034594534896,0.0013765274829906013,0.010379268846008927,0.0066091227377791,0.1958413232350722,0.2043030260397708,0.04421877690765541,0.043446488670744784,0.048111378237081226,0.1553399102586236,0.09635352091390814,0.19205570521959023,0.11756360752769979,0.2402000161438457,0.021157323390070815,0.03990341371947301,0.011779605702031404,0.010824972996224683,0.0020908595943183172,0.0013420886592994147,0.00134736322434037,0.0013434795870047058,0.006591188870515907,0.00585825005449303,0.003068421756324824,0.004077113335783545,0.00878571398970962,0.013765729776336439,0.0031157047942542704,0.005610322915884133,0.00985829647470382,0.014181958331001656,0.13668563951796386,0.2780694476163716,0.005685892772817169,0.012625703106667446,0.10557236151362304,0.19014523718787132,0.017052675128070405,0.05154957675363613,0.0316813682729844,0.03883003607535673,0.005844809578775312,0.010688538250405477,0.003508780740958173,0.004708347254639496,0.07832114533812273,0.19976580148869008,0.0031573989563185023,0.004649116671844992,0.21499333623796701,0.19805635712530975
ability,(none),544,0.5937768883784028,0.18431301310320963,0.11318000619939994,0.20842044056449754,0.002820626860097143,0.022007791953724903,0.007902542851993263,0.031834354668244795,0.0368363784509711,0.10573801801831571,0.16524070249408182,0.16805708136806102,0.11746087273690244,0.18971103402602113,0.0492487119317957,0.11000184614510061,0.1280685150713372,0.22117999748212214,0.0631155627701553,0.15955576623303505,0.038208671411078234,0.08118970958345688,0.025176863872355383,0.06633913560813773,0.002982333241508219,0.008719589316893312,0.0030087102623731292,0.008236940024085045,0.011732229267128039,0.05276265919550418,0.007369901806990075,0.03829493046737661,0.03684215040836053,0.15312772380516257,0.0027916069396483447,0.004189429675528336,0.033289610267756335,0.11769911786051204,0.07444079485904855,0.20821499943558583,0.012303946029693607,0.03102978329086037,0.03909455769055913,0.06729678133054252,0.009452508876941412,0.03856948246438701,0.05491448509008692,0.09851559125457562,0.009825732483531122,0.01821946142308033,0.007234397241892807,0.03853354953707171,0.05088866086289807,0.13293450451631467,0.004818464571679428,0.021137485814979477,0.2146693952184732,0.20534905320085797
ability,auditory,68,0.570657276931931,0.1815392693988838,0.12108913640087635,0.2149583298585416,0.0014668736968066216,0.002482570268101625,0.004611350258261047,0.011000488069526233,0.03323241179425489,0.10394752194568609,0.20275801618802636,0.17524223374719103,0.07340080311747871,0.13287693627377897,0.030067133946645567,0.058700066607514576,0.11335045814827455,0.23236897010251106,0.04815018785131328,0.1328916062658792,0.027025144411976832,0.05747231746258374,0.013708689452066799,0.01900785487190316,0.0021830550352152545,0.0023329818081663043,0.0025646672057679527,0.003785215372623987,0.005650894219904919,0.00811753078036714,0.0036514311933013447,0.003910399609203914,0.041675522199297765,0.17360187849501277,0.00309652634720859,0.006710957792508006,0.029252097483121735,0.08465213817169007,0.05822375635376803,0.1846651192473855,0.0060366158690800045,0.00916362975839323,0.02684472799848984,0.03751922119884636,0.023198124324206967,0.07130485916427835,0.08177709406214383,0.12413794461476124,0.013832194497380816,0.02202258239548252,0.004294149777492481,0.007957357792700822,0.040204480469743856,0.1313526398172835,0.0026551150645793636,0.0034938407127248507,0.2621805320959538,0.203623630358643
ability,intellectual_and_developmental,17,0.589318582240273,0.13618190620971812,0.11823505115257028,0.24738837728383364,0.0010360992181470945,0.0007004919075365802,0.0026796118712381404,0.0025083642341710614,0.015383243012954207,0.02044635033497806,0.15719398768509135,0.15751480652870894,0.17681174536290414,0.2586654579459213,0.020565564408624434,0.047277964876066,0.11948826002395328,0.21165869285066952,0.141447669134804,0.23328013300271713,0.041206140865517014,0.0967211486377851,0.015601805520846564,0.018539289082596225,0.0020851046394775898,0.002278742750121078,0.001325030581724337,0.0011304567953637685,0.007524394923273255,0.014585815358532839,0.003356841122320689,0.002425469209342139,0.018117499167976135,0.04499757161479701,0.0022342752473538414,0.001943871724692938,0.004960399874321678,0.004920299950011425,0.04432318593128858,0.14270709127747194,0.0057719094089835,0.007501540532736024,0.08436690281857462,0.1673037850984685,0.004186343925111406,0.005674417620702354,0.040748427622020245,0.04776248688389376,0.006961672170505421,0.006011482243226948,0.004145260051111965,0.002981485936510892,0.03126346603761811,0.05062136239145179,0.0017789201331598794,0.0015130837489525878,0.22529310283853726,0.14794823123811418
ability,mobility,85,0.5680731243946973,0.17990516033284765,0.08418646920540863,0.18381224971059099,0.0015693362295518026,0.003254614320526889,0.01887001871227232,0.08812050688924285,0.04742065711385187,0.12541025683844195,0.1495738686665016,0.18157907169205548,0.08157746421912794,0.14967502226077037,0.0421743831878035,0.08345339383641973,0.13361747816259809,0.2141002855423538,0.12686696034883532,0.22379276985373497,0.03766644284786547,0.07592159773314959,0.021697930495857314,0.04428793037906058,0.003372230478014578,0.005532169800259053,0.002504286014557104,0.005038269244168455,0.008129651443211034,0.02216088480379373,0.0034587776452741203,0.002958711047677077,0.027756759747931296,0.11905154095215827,0.002702868835801971,0.004386519644552575,0.015415851756081204,0.042335334402749586,0.08248128467581838,0.230448408260644,0.005871876825489487,0.008005131743916047,0.044570861310314604,0.0468176386640088,0.004601418516754433,0.00823005252615576,0.05315757171415231,0.09720441332390051,0.008195542957743301,0.014389145614890918,0.008173148303552914,0.035114486170086855,0.052222062630907576,0.14533920537378373,0.0024472711515366374,0.003258553823002559,0.22615981267436464,0.1817850746572984
ability,neurological,119,0.610965721371795,0.17982528846837142,0.08222678080866379,0.19389471862175886,0.0027292252326493755,0.008303155551103544,0.0031749051154254613,0.0038512936543417895,0.021608675788978442,0.0452492851616691,0.18957807084921152,0.19090744403872512,0.04436998311068252,0.0975377116154041,0.04632605481090635,0.11109678263723909,0.13919693527218863,0.25135769589264495,0.06816376006708112,0.15675734443963293,0.034067346322146724,0.08386653965471612,0.021131257989302966,0.04591054582574029,0.002467440119396676,0.0022792622218756535,0.0030775748608054734,0.00481509717763384,0.007353517755879746,0.016824162701238935,0.0058189588386131095,0.011333947071598002,0.026761526308910717,0.12868456797635486,0.0022677448021782122,0.004208378408417092,0.033018136114281206,0.12618053590484984,0.07050674740457907,0.2189845153022365,0.017386428289545383,0.0596596674106826,0.027940775679635713,0.041501027832684646,0.004221066337716159,0.007920428248698338,0.10126742433967899,0.18197917385813545,0.00804693107613061,0.015924066371980163,0.0034672538696068236,0.004299969037459133,0.04445710314482748,0.12173616086351542,0.004771812231242735,0.010339454058673866,0.23891459981433483,0.21500587452051081
ability,speech,51,0.5437818800701815,0.18217303400744303,0.03678898285736567,0.11163889109243856,0.0013263368960264523,0.0012266811272479909,0.017096566770216634,0.06282443949733174,0.06718529223957483,0.15706010907226828,0.1142068706891116,0.13581199600853242,0.06837559762803436,0.0910717065206014,0.08515466738026589,0.16168908606660723,0.12140629393066846,0.199065023496827,0.1156343667306846,0.21722865528853877,0.0530705595886627,0.07774265840450993,0.026746192682242275,0.04846063988192101,0.0052846316385137685,0.015022958397085916,0.002779660654007731,0.00362164260782911,0.004648427259834374,0.005517817218734706,0.004980117321133102,0.006467108325553201,0.013216411081421207,0.0788275923814079,0.002767104042611797,0.004140019753171411,0.018183688863691892,0.05256518298709856,0.05201980925516645,0.17777698710414508,0.013222496571389082,0.02387069004124402,0.04375881731838865,0.10013878079427717,0.003223932833540911,0.00889106902933931,0.031455379239666986,0.045768104600073536,0.0069392576098085985,0.019943469161898597,0.0081542193474175,0.02207477976803245,0.07548148730112349,0.17693476135523276,0.002457152964209444,0.0031185911567646295,0.24739220787716262,0.22668293559086064
ability,unspecific,102,0.5807238313205102,0.18650241892819613,0.06918507412546222,0.1408915364196173,0.001994086619507631,0.00326285098638331,0.00436054042188962,0.008374215573889076,0.022052152255805684,0.04868123438888855,0.18219081150806127,0.1837788666011067,0.11811973602287289,0.19162504397077884,0.03972969726915015,0.07484986555180452,0.12801646757311663,0.2269343984044737,0.1280231799070915,0.23890292989584822,0.03716751541736919,0.07035564305565019,0.023018684601137304,0.0423227793892688,0.0028249795497828803,0.003694549219124286,0.0029998407128504385,0.006991617407125819,0.012943396652083132,0.06147709683931267,0.00638608584224986,0.010461441422752415,0.025037810126805733,0.13548914641759177,0.0032819447124162325,0.004498789626264495,0.04385767718457489,0.1530973824621182,0.06540165866232094,0.19491496324950658,0.014405912888868638,0.037100593399593165,0.050998450154164696,0.10143431727553454,0.00622600483813371,0.01703870727915811,0.05543133232505152,0.08736208547954227,0.01061134120462549,0.01851876407233197,0.005726682625975752,0.010087059490218177,0.059324043796069044,0.12377038991355986,0.010387780898656952,0.057514489566334065,0.17883570207392468,0.15264242790037574
ability,visual,69,0.5661623028741367,0.17011118187949953,0.06607899742042375,0.1694542892491064,0.0013361959663334478,0.0016277748438017399,0.008644547070498053,0.04300336256826979,0.03536860790252146,0.09240941390823326,0.16668977743635574,0.16742689967456953,0.11101313758189317,0.17797506240847072,0.059845526229448456,0.10635895023649283,0.16852498519575168,0.24365695878225396,0.03662184972073073,0.10739971673413808,0.043182579049692096,0.09322046872473186,0.027004412297780316,0.07806597697403876,0.0052474283771859346,0.021872314797215887,0.002081772730520427,0.003364407213726428,0.007826398802074213,0.02112361089897083,0.0034719971080303894,0.00391894444451189,0.022584101565872264,0.11304280845385073,0.0018640633577993815,0.0025461647422900884,0.021822433717096683,0.09966618700218464,0.03350148317353476,0.13148768515807074,0.007015224940572069,0.011964872943310643,0.026796904520766027,0.026423791804196132,0.0024802419528883097,0.005314051217607694,0.05092543052455437,0.08663837624031023,0.0052376282802087835,0.00736437713072945,0.0033440634787953254,0.0039525822068595725,0.04136063773066912,0.10841013752101815,0.00324690314532811,0.0070066925446472484,0.29116261511555186,0.23535741154187903
age,(none),16,0.5487092612311244,0.2376655800108515,0.04287934355670586,0.11288075369704847,0.011119701523057302,0.03140273168553574,0.0040034390767687,0.004162640343755026,0.026364270743215457,0.023803205892246042,0.07301206438569352,0.06871304873220975,0.08404427758796373,0.2252196778458584,0.13155505085887853,0.18195757076598418,0.02867887608226738,0.05723761161104173,0.05503346181649249,0.1087878137704008,0.10677608143305406,0.12338022473684956,0.03296139040321577,0.040588069221184735,0.003022466928086942,0.0024821064205689867,0.006206277979799779,0.006421473778170433,0.005635203793644905,0.004224677671632421,0.008296472835354507,0.006874373209856743,0.06269625524691946,0.2385969080257421,0.0028516642887552734,0.0016976188430403575,0.01863490566756809,0.03829371233483583,0.041390672286070185,0.14301738623130533,0.02759628517924284,0.037198220545089145,0.07368302150280215,0.13953149834077513,0.0026541707520664204,0.0030173886119741187,0.1188331114826724,0.21406566496946514,0.007342544813582208,0.007898886108886576,0.01164654816602706,0.011889100287860527,0.05185920080111828,0.0632556489482866,0.004826323465749738,0.004779541022109162,0.2226587604091037,0.24680832070639486
