axis,full_gen_bias,full_gen_bias_mean_emotion,template_count,descriptor_count
None,0.0,0.0,11,1
ability,35.848404260305664,1.2803001521537734,756,64
age,57.35587475220681,2.0484240982931015,641,60
body_type,126.09687063306468,4.503459665466595,958,149
characteristics,50.26182111110209,1.7950650396822174,1042,88
cultural,29.538473765989345,1.0549454916424765,331,24
gender_and_sex,52.14021240073432,1.8621504428833675,548,46
nationality,17.795115066587847,0.6355398238067091,313,24
nonce,8.37046046526631,0.29894501661665396,127,8
political_ideologies,26.243649528074823,0.937273197431244,344,25
race_ethnicity,28.285255202171633,1.010187685791844,394,30
religion,50.86513293375032,1.8166118904910833,485,39
sexual_orientation,15.039925368283155,0.5371401917243985,251,17
socioeconomic_class,18.069287672293566,0.6453317025819131,357,24
