axis,full_gen_bias,full_gen_bias_mean_emotion,template_count,descriptor_count
None,0.0,0.0,11,1
ability,43.90167162968467,1.567916843917309,756,64
age,55.94925242033407,1.9981875864405036,641,60
body_type,137.9894069239923,4.928193104428293,958,149
characteristics,51.33925056135615,1.8335446629055767,1042,88
cultural,35.49122494735678,1.267543748119885,331,24
gender_and_sex,54.32169334607719,1.9400604766456135,548,46
nationality,16.761218455907176,0.5986149448538277,313,24
nonce,9.036159179973586,0.32271997071334224,127,8
political_ideologies,28.639437756122735,1.0228370627186685,344,25
race_ethnicity,26.324935458670886,0.9401762663811029,394,30
religion,39.91452782858894,1.4255188510210337,485,39
sexual_orientation,16.706342904036593,0.5966551037155923,251,17
socioeconomic_class,12.068714273083225,0.4310255097529723,357,24
