axis,full_gen_bias,full_gen_bias_mean_emotion,template_count,descriptor_count
None,0.0,0.0,11,1
ability,44.24594020569516,1.5802121502033981,756,64
age,55.57480125399711,1.9848143304998958,641,60
body_type,132.5751755217704,4.734827697206091,958,149
characteristics,50.90135038996825,1.8179053710702953,1042,88
cultural,36.80589681452636,1.3144963148045126,331,24
gender_and_sex,54.748131720887436,1.9552904186031224,548,46
nationality,16.961202266325028,0.6057572237973224,313,24
nonce,8.577546390768958,0.3063409425274628,127,8
political_ideologies,25.07309553820954,0.8954676977931973,344,25
race_ethnicity,25.854223887021817,0.9233651388222078,394,30
religion,41.54538489082426,1.4837637461008666,485,39
sexual_orientation,19.591030655395333,0.6996796662641188,251,17
socioeconomic_class,15.965927286521152,0.570211688804327,357,24
