axis,bucket,count,mean_max_emotion_probability,std_max_emotion_probability,mean_prob_admiration,std_prob_admiration,mean_prob_amusement,std_prob_amusement,mean_prob_anger,std_prob_anger,mean_prob_annoyance,std_prob_annoyance,mean_prob_approval,std_prob_approval,mean_prob_caring,std_prob_caring,mean_prob_confusion,std_prob_confusion,mean_prob_curiosity,std_prob_curiosity,mean_prob_desire,std_prob_desire,mean_prob_disappointment,std_prob_disappointment,mean_prob_disapproval,std_prob_disapproval,mean_prob_disgust,std_prob_disgust,mean_prob_embarrassment,std_prob_embarrassment,mean_prob_excitement,std_prob_excitement,mean_prob_fear,std_prob_fear,mean_prob_gratitude,std_prob_gratitude,mean_prob_grief,std_prob_grief,mean_prob_joy,std_prob_joy,mean_prob_love,std_prob_love,mean_prob_nervousness,std_prob_nervousness,mean_prob_optimism,std_prob_optimism,mean_prob_pride,std_prob_pride,mean_prob_realization,std_prob_realization,mean_prob_relief,std_prob_relief,mean_prob_remorse,std_prob_remorse,mean_prob_sadness,std_prob_sadness,mean_prob_surprise,std_prob_surprise,mean_prob_neutral,std_prob_neutral
None,(none),16,0.6786252185702324,0.1680350982752592,0.15524346175516257,0.29075511853165537,0.002909076833020663,0.004285197291195745,0.0027084990142611787,0.0008939973307918894,0.010093549208249897,0.006604987074921426,0.17422860977239907,0.21189463168091768,0.058203609798511025,0.14021152630348724,0.10924763492948841,0.25931802426146217,0.11498506945281406,0.16373839648012384,0.12559424970459077,0.213291541207215,0.009301258578489069,0.013237499129891838,0.015588866212056018,0.024117372848843327,0.0016957661864580587,0.0007520518373490527,0.0014557163740391843,0.0015648791999733867,0.009651158728956943,0.01053592007059496,0.0049435179244028404,0.01036757633268867,0.004935765076879761,0.006244333903074462,0.0019146128815918928,0.0033364240214119626,0.0849243802476849,0.2290498927955743,0.1591037379403133,0.3237041978957063,0.011450576846982585,0.034682051397399244,0.03831386320234742,0.04375112834056955,0.0062489930578522035,0.012199685600067057,0.03968460130272433,0.07454918138165745,0.010194280290306779,0.023283795339073182,0.0029862192986911396,0.00425840370414949,0.020194695593090728,0.06152334170326695,0.0033907694087247364,0.0047589325234991715,0.194618723471649,0.20886854385083803
ability,(none),544,0.5946377516066765,0.18544958670059847,0.12088495083074069,0.2267518115780132,0.003090232512423587,0.018133642568623917,0.00748373684607085,0.032965251010553226,0.03233534688308068,0.08295722335592697,0.15413866209222332,0.1549115898882829,0.11723496906501275,0.1954531379742882,0.043025541311341356,0.09008773458650313,0.1220767106881206,0.21515441709656488,0.05866018100791467,0.14843796029727743,0.039459875603664415,0.0876062564126703,0.02641072132588734,0.06649700088378455,0.003318400728804751,0.012288357993528403,0.0034027346349402624,0.010610528508220295,0.008808513690596823,0.02258181632556613,0.00881347296816624,0.04992801304647783,0.03787110889312745,0.15558331484885832,0.0027325720348284556,0.003875674617197246,0.03862044176179659,0.1247050360999949,0.07483538760847938,0.21134027727927163,0.013124737927575873,0.03695939924089479,0.042971843566620545,0.0912406768015456,0.00926180999725629,0.03791035856794545,0.05209079972358749,0.08662376449252612,0.010003455988145801,0.017746626611787667,0.005826701559057897,0.022776218045051883,0.05015190040445733,0.1268818550881121,0.003933686926168722,0.01448315147087209,0.22465280344648123,0.21445751812514266
ability,auditory,68,0.5752784493653214,0.1898914155227405,0.0975876690388438,0.19141971391447024,0.0016302280690818887,0.003102864308408163,0.006944018533806016,0.018305678261152005,0.05045415721970665,0.13647778408848563,0.1653943734572214,0.1560435912293805,0.05531578482580645,0.11927979546995078,0.03644736077181091,0.06429003882709176,0.11940766067581375,0.23184793986439436,0.046276467497056516,0.11970428895135432,0.03212443968240062,0.056137635679805745,0.02178235546863802,0.03230218339269397,0.0025395158590981737,0.0034696655344735373,0.0026827418264207046,0.0036729969679188757,0.0075546712332117535,0.014735573867765986,0.0032365647930419073,0.002796780853646043,0.058021100788370375,0.20117918085531242,0.002349185602831901,0.00442128702096074,0.03431249635639902,0.12211360371196556,0.045947825759546555,0.16589828493089365,0.005878211257582092,0.008768496635297647,0.0367243801969487,0.1046250871374267,0.019845394002378967,0.06470166688644806,0.07912878772271249,0.1253542744019086,0.012084327386700726,0.01838541826792524,0.0036069678693927605,0.003910261325564217,0.027756398958017063,0.09253976720648972,0.002534053329487934,0.0023134705594328366,0.27712398609283434,0.21566620042171292
ability,intellectual_and_developmental,17,0.5845833262976479,0.15094142775603195,0.14970507397425964,0.2518486346504737,0.0016222568280200528,0.001489765691340262,0.0026786977028035943,0.001876659571485518,0.01104296584997107,0.006506570836396815,0.18228039397474596,0.1736181664331278,0.10260182020583135,0.1705019211128789,0.031105774557491875,0.054618037043784956,0.13908545416951015,0.21729241711009456,0.08925099392859813,0.2257466376886563,0.01857729549930595,0.03685930702970212,0.009748482775381383,0.004850773942306438,0.0019883648834793884,0.0018463664435814009,0.0031593465006581564,0.005757991148074339,0.05600354769814979,0.178725278279897,0.0037749382317997515,0.0030073709755693324,0.02765816797481795,0.06279984443441243,0.0019452747912830947,0.001903410375028041,0.018030342170009938,0.029178379852847502,0.04672124223126208,0.1515041665551213,0.00493415749138769,0.004825254139143757,0.03387084197910393,0.024326504301382147,0.03091910363839227,0.0986111363883526,0.08900924289927763,0.1492343589523578,0.015100537450052798,0.025372942129406998,0.0032288770547465365,0.0020986219233237375,0.009778064929003663,0.010857549888926616,0.004003202405703419,0.004577084496299412,0.2073438203729251,0.19032800019240975
ability,mobility,85,0.6170936069067787,0.20021365574402417,0.10640479140942369,0.22774453804743994,0.0012756359328598003,0.0009643220176045548,0.010180663583827588,0.0365245175788698,0.03939333389074925,0.12113409606098714,0.14123315967838554,0.17038499864706716,0.06422292764901238,0.13244716750048732,0.04521087619325365,0.1091209795663638,0.10796372205813361,0.19830883566138377,0.15042597078581285,0.23117125459692162,0.0395213757901836,0.07281083355915544,0.016296280276797272,0.025191132692355893,0.002794328486711225,0.004010109942306797,0.0017724388689898392,0.002068584883514921,0.006340295592706431,0.006577610802456809,0.0040631709812099445,0.008051635990726065,0.051861075289300916,0.19449188466387624,0.0027048903281170437,0.0044443214538660404,0.01308418041889501,0.024305381801128886,0.11585926324238673,0.27359698301331803,0.00890925122469472,0.036279712326586944,0.04997188145678271,0.07830126296109376,0.003963590660543345,0.00572932147665837,0.0427231674301712,0.07768666902264372,0.00585711571483818,0.008895972794708967,0.009730609103023787,0.05330411084955212,0.06666913980494855,0.17431051307460071,0.002213890681741759,0.0015586031571547178,0.19463443392339874,0.17576104016180058
ability,neurological,119,0.6071732184466194,0.16606885008342917,0.09104726798274797,0.20322386332138953,0.0018714654676130966,0.00439216840406327,0.0048515260495448935,0.014835376057456339,0.02932609338900309,0.09711917586743687,0.19415001173605437,0.19087784813403105,0.04345053541884922,0.08848932036985951,0.050836896440190335,0.10433954557852909,0.15243051176599204,0.2514108271292825,0.05887138560324313,0.14643696016945554,0.02613805584754294,0.05232651746522456,0.026481615464563065,0.07228387823640975,0.0025940326701834045,0.0030921086507687133,0.003200951298432691,0.00688513078565565,0.011202708089199825,0.057074077926751995,0.005567732350724679,0.010867169648700709,0.01493561008382352,0.07605328233878433,0.0016886655411471713,0.002158896825612805,0.014756662687951965,0.06600218408944997,0.0719710988266014,0.22093167157893082,0.014152234090989096,0.05572498024967548,0.044728438053945344,0.11966819833230673,0.0038162668517405783,0.0061394389621561435,0.10254570113557603,0.16831658165781926,0.005960750832205771,0.009099758712508853,0.002876561525754216,0.003446749918303931,0.02758555470118612,0.08349625920168176,0.008466888429692891,0.03584764890639002,0.25828943065829385,0.22555907724568247
ability,speech,51,0.5368044484479755,0.1810655635743609,0.029014421221754495,0.07340695640526153,0.0013014120069747865,0.0012190085163215469,0.01769626343864765,0.06473991829938441,0.06106545269836252,0.14813907734256745,0.10876718293145007,0.11379211887618497,0.07872639017581355,0.12280382135889,0.08257452215698055,0.15034186771830302,0.14617262806574466,0.2103318957526222,0.12743461998773045,0.24045058083765228,0.04866656534346368,0.07808506953460877,0.02631089140606277,0.050951578194545155,0.00508244334510071,0.01307206330931412,0.002912262175003907,0.003721198107399789,0.004753680815281091,0.005797981351051536,0.005245782600432707,0.0061962823565174,0.037985765035366915,0.17956326692468366,0.002386394619950842,0.002950486364325225,0.010016110739396775,0.0323062006405324,0.020441497933443672,0.1136422518781639,0.011510537781492424,0.017510576816944394,0.03218408433866559,0.03285449061482406,0.0029487961521012683,0.008197035283161201,0.04407074172323679,0.08250918895119025,0.0077181550387096795,0.020223476360562657,0.004559762343335166,0.005626058945681173,0.056937230309224963,0.12767736469073077,0.0025774037012346452,0.002933210036740571,0.24192697934660257,0.1873810177220825
ability,unspecific,102,0.5450231313121086,0.16828592070595857,0.06054041011021564,0.12939754037382684,0.0017440362460226478,0.0028668086270113797,0.0046636650821550146,0.008120962951045706,0.028262822537262942,0.06063045297428838,0.1788330435862436,0.18909398814003311,0.12019957861904164,0.18513903727273862,0.04092280207916309,0.07648574789139034,0.13467776538449222,0.2200481906035506,0.11667923338074401,0.21609385862005404,0.050623482284957874,0.10744432095409048,0.025720132211241507,0.04607469346489636,0.0029321915502020833,0.003876835883649117,0.0035123238448446213,0.007592631862529223,0.008471846987388334,0.022232920487158275,0.006064962500400439,0.011921075442761333,0.02371860815123107,0.1262208969244933,0.0032299482546103023,0.0038473932733341506,0.038327817091211566,0.13941276986542547,0.05765926610911265,0.1792347248417429,0.011717998325098854,0.022661544453336714,0.04401394440655542,0.06942022981676704,0.010065954361683302,0.04263966519138334,0.05002916007594881,0.07544620488099732,0.011053242105203132,0.020006385971220272,0.010548591641732035,0.044535428438311986,0.05912730082134515,0.11343499629341482,0.015072907514039282,0.0670028957161481,0.18632328716179758,0.13675275334961964
ability,visual,69,0.5854028366182161,0.1723976968362154,0.06186773051403166,0.15852512540300856,0.001979339740448294,0.0038311543600553694,0.0038292882964015007,0.006348952579740913,0.0235418278514745,0.04307802060783305,0.15651571982796642,0.15902925640997942,0.10471840160966352,0.18521456672855433,0.052803796496701194,0.10384608585276621,0.1478391903342065,0.23401788924879782,0.04488162172661311,0.1253058480867355,0.03403628473777486,0.06511651551347877,0.028231971401154347,0.08020267862102996,0.005936724788836622,0.023423358418149014,0.012944924972016715,0.09071195022023135,0.006503261006994011,0.018055604605062656,0.007176045103983926,0.018102245796713566,0.0347715320600875,0.15218762795128704,0.00224644057743717,0.0032461856743799212,0.017838288786098954,0.07717492094675821,0.044666129573960316,0.1374833298913291,0.00956757324372344,0.01906521489800737,0.023469708981397358,0.021693257527979872,0.001936921514098303,0.0024664740615511637,0.04993292271578009,0.08614328909481467,0.004518951188335937,0.004797057952809871,0.004337816770387598,0.006344297022046735,0.05558769688755949,0.1425974553596163,0.0024363997947438147,0.0030829113805835038,0.31019079975405894,0.25443157814573286
age,(none),16,0.555958217009902,0.1659220655505169,0.019540080858860165,0.03238904493741996,0.001494061838457128,0.0008144715817119158,0.003862437413772568,0.00263830436973544,0.025086860870942473,0.0236760265943994,0.09642193507170305,0.1261138153143815,0.11020409003685927,0.2355359587078057,0.21571508832857944,0.24366802946227714,0.14919650114461547,0.22956876138626933,0.05751088529359549,0.14115059407078065,0.089457326932461,0.11955170144937427,0.027187841609702446,0.02377605405802469,0.002710586933972081,0.0015752796401352815,0.004669687812565826,0.004182164457187198,0.0066541987616801634,0.0069201316516753,0.009476506100327242,0.007727499354617125,0.0025584056402294664,0.00296766745780447,0.0025516690766380634,0.0014811507605441761,0.007356355701631401,0.005403994398849553,0.09053792473787325,0.23207248741520714,0.021865541268198285,0.018933122717031483,0.039359025337034836,0.037004112870245624,0.0015208736531349132,0.0012911674090417802,0.09071085540927015,0.13775491708377693,0.004823872841370758,0.003992488817891308,0.01051181181537686,0.012761459210537887,0.04481623617175501,0.05925431460879909,0.004935054792440496,0.004546469226238039,0.2065800767741166,0.21243532285261976
age,adult,17,0.6032001568990595,0.15005105743523336,0.17569295592907377,0.2994672948758956,0.0033019120113321524,0.00893827535828031,0.0033870386678780265,0.004278344033182393,0.012172110433525899,0.009992537053580466,0.12282752541496474,0.17592995859798793,0.0754230448647457,0.16450810723803103,0.13065797601730617,0.21869935056999526,0.1280281384345418,0.164166918144229,0.10649292257970527,0.20226792799565663,0.0343820688122993,0.0768370549838509,0.012297829421346678,0.009692264519723593,0.0017684736864312606,0.0014317301104646261,0.001619920427294667,0.002316552918930828,0.020597125232384047,0.06753331291154122,0.00264242387321942,0.002988919784718714,0.053777480574139835,0.17556454427733678,0.001976919374154771,0.002952152433663519,0.030208054491702246,0.09664579293801236,0.08334031675065703,0.21551386435618616,0.005788578549126054,0.012580671269847922,0.02707896293962703,0.023915777384347067,0.0037244218149092324,0.005992864559081898,0.036679847261813635,0.06609203690119066,0.005034079230801367,0.008169236418874825,0.006493860804338884,0.015824151978484562,0.04393183971371721,0.11845194962439132,0.003106069644940469,0.003459044768923631,0.20695727055563645,0.1922340706433042
