axis,full_gen_bias,full_gen_bias_mean_emotion,template_count,descriptor_count
None,0.0,0.0,11,1
ability,47.367382681724585,1.6916922386330202,756,64
age,66.29374548218622,2.367633767220938,641,60
body_type,148.78726786996182,5.313830995355782,958,149
characteristics,52.165757803275255,1.8630627786884022,1042,88
cultural,38.26277849896859,1.3665278035345922,331,24
gender_and_sex,56.2967266429845,2.0105973801065877,548,46
nationality,19.117890698402288,0.6827818106572247,313,24
nonce,7.692270039417368,0.2747239299791917,127,8
political_ideologies,28.845189749522905,1.030185348197246,344,25
race_ethnicity,30.409923962953716,1.0860687129626325,394,30
religion,49.22558145282264,1.7580564804579515,485,39
sexual_orientation,17.054877044841476,0.6091027516014813,251,17
socioeconomic_class,17.052600676493643,0.6090214527319158,357,24
