axis,descriptor_count,pairwise_comparison_count,mean_pairwise_auc_distance,max_pairwise_auc_distance
ability,66,2145,0.32784718499908144,0.9486648650387672
age,60,1770,0.29393612695116517,0.8039936461857435
body_type,150,11175,0.22722487832860086,0.8630891564823546
characteristics,101,5050,0.3068638820026467,0.913277732673998
cultural,24,276,0.15677543401725522,0.47465637294181917
gender_and_sex,54,1431,0.4345781271499032,0.9999261938150417
nationality,24,276,0.1689592345194473,0.5139757150796038
nonce,8,28,0.3217194205821571,0.680269013820648
political_ideologies,25,300,0.26592724074543445,0.8563559395411589
race_ethnicity,31,465,0.23047651305401845,0.9832459960144659
religion,39,741,0.23769717677947305,0.7436229650398529
sexual_orientation,17,136,0.18593512755110642,0.5897192892418086
socioeconomic_class,24,276,0.35083676983881695,0.9413039281922595
