section,suite,metric,value,artifact
met,wikipedia_en,prompt_count,25,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
met,wikipedia_en,sample_size_per_side,250,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
met,wikipedia_en,n_simulations,100,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
met,wikipedia_en,rejection_rate_alpha_0_05,0.34,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
met,wikipedia_en,rejection_rate_alpha_0_01,0.07,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
met,wikipedia_en,mean_mmd,0.005809855783367148,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
met,wikipedia_en,mean_pvalue,0.20954,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
met,wikipedia_en,effect_size_mean,0.005915332932207021,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
met,humaneval,prompt_count,20,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
met,humaneval,sample_size_per_side,200,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
met,humaneval,n_simulations,100,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
met,humaneval,rejection_rate_alpha_0_05,0.13,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
met,humaneval,rejection_rate_alpha_0_01,0.02,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
met,humaneval,mean_mmd,0.00840924599063931,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
met,humaneval,mean_pvalue,0.39556,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
met,humaneval,effect_size_mean,0.005057423407091727,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
met,ultrachat,prompt_count,20,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
met,ultrachat,sample_size_per_side,200,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
met,ultrachat,n_simulations,100,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
met,ultrachat,rejection_rate_alpha_0_05,0.32,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
met,ultrachat,rejection_rate_alpha_0_01,0.08,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
met,ultrachat,mean_mmd,0.010320636704698564,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
met,ultrachat,mean_pvalue,0.15907,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
met,ultrachat,effect_size_mean,0.012407561191361837,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
met,aggregate,overall_rejection_rate_alpha_0_05,0.26333333333333336,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
met,aggregate,overall_rejection_rate_alpha_0_01,0.056666666666666664,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
met,aggregate,overall_mean_mmd,0.008179912826235007,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
met,aggregate,overall_mean_pvalue,0.2547233333333333,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
met,aggregate,final_reject_alpha_0_05,false,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
met,aggregate,final_reject_alpha_0_01,false,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40/summary.json
behavior,proflingo,match_rate,1.0,artifacts/adapter_evals/fullsuite_api_met_kl_s150_w20_h20_u40_from_exact_chain_seed0/summary.json
behavior,proflingo,matched,50,artifacts/adapter_evals/fullsuite_api_met_kl_s150_w20_h20_u40_from_exact_chain_seed0/summary.json
behavior,proflingo,total,50,artifacts/adapter_evals/fullsuite_api_met_kl_s150_w20_h20_u40_from_exact_chain_seed0/summary.json
behavior,medmcqa,forced_choice_accuracy,0.3435,artifacts/adapter_evals/fullsuite_api_met_kl_s150_w20_h20_u40_from_exact_chain_seed0/summary.json
behavior,medmcqa,generated_accuracy,0.342,artifacts/adapter_evals/fullsuite_api_met_kl_s150_w20_h20_u40_from_exact_chain_seed0/summary.json
