concealed_level,concealed_fraction,suite,seed_count,mean_rejection_rate_alpha_0_05,std_rejection_rate_alpha_0_05,min_rejection_rate_alpha_0_05,max_rejection_rate_alpha_0_05,mean_pvalue,mean_mmd,fail_rate,row_type
0,0.0,humaneval,1,0.13,0.0,0.13,0.13,0.39556,0.00840924599063931,0.0,public_anchor
0,0.0,ultrachat,1,0.32,0.0,0.32,0.32,0.15907,0.010320636704698564,0.0,public_anchor
0,0.0,wikipedia_en,1,0.34,0.0,0.34,0.34,0.20954,0.005809855783367148,0.0,public_anchor
25,0.25,humaneval,10,0.089,0.020789954839350235,0.05,0.13,0.450106,0.007781369677113467,0.0,split
25,0.25,ultrachat,10,0.262,0.056529245135200204,0.18,0.33,0.202015,0.011629084022672157,0.0,split
25,0.25,wikipedia_en,10,0.14100000000000001,0.04201851443775179,0.06,0.2,0.29281799999999997,0.008080444896396125,0.0,split
50,0.5,humaneval,10,0.091,0.030349812373573433,0.05,0.15,0.43601,0.006602545305713873,0.0,split
50,0.5,ultrachat,10,0.446,0.0803049742474829,0.35,0.58,0.118545,0.011875950635008573,0.2,split
50,0.5,wikipedia_en,10,0.224,0.06636598861197235,0.11,0.31,0.206842,0.009049263517967893,0.0,split
75,0.75,humaneval,10,0.068,0.03293090409394259,0.01,0.12,0.453235,0.0035546950798285813,0.0,split
75,0.75,ultrachat,10,0.542,0.07284687135812126,0.42,0.63,0.08875,0.012020510107538974,0.7,split
75,0.75,wikipedia_en,10,0.281,0.05466056876558985,0.19,0.35,0.17358500000000002,0.008648117439140643,0.0,split
100,1.0,humaneval,10,0.092,0.026997942308422118,0.05,0.14,0.40270999999999996,0.007801167247370066,0.0,split
100,1.0,ultrachat,10,0.663,0.08260347046785223,0.52,0.78,0.061498000000000004,0.01262623171267549,1.0,split
100,1.0,wikipedia_en,10,0.423,0.04785394445602159,0.36,0.49,0.131409,0.008662820248015624,0.0,split
