hidden_level,hidden_fraction,suite,seed_count,mean_rejection_rate_alpha_0_05,std_rejection_rate_alpha_0_05,min_rejection_rate_alpha_0_05,max_rejection_rate_alpha_0_05,mean_pvalue,mean_mmd,fail_rate,row_type
0,0.0,humaneval,1,0.13,0.0,0.13,0.13,0.39556,0.00840924599063931,0.0,endpoint_u40
0,0.0,ultrachat,1,0.32,0.0,0.32,0.32,0.15907,0.010320636704698564,0.0,endpoint_u40
0,0.0,wikipedia_en,1,0.34,0.0,0.34,0.34,0.20954,0.005809855783367148,0.0,endpoint_u40
25,0.24615384615384617,humaneval,10,0.067,0.018287822299126937,0.04,0.1,0.446862,0.0068821466961881345,0.0,split
25,0.24615384615384617,ultrachat,10,0.312,0.21191193139289413,0.1,0.64,0.21264,0.018197688855183657,0.3,split
25,0.24615384615384617,wikipedia_en,10,0.114,0.042998707990925596,0.06,0.21,0.312243,0.007254809542757918,0.0,split
50,0.49230769230769234,humaneval,10,0.055,0.031358146203711294,0.02,0.12,0.470628,0.003088574043277706,0.0,split
50,0.49230769230769234,ultrachat,10,0.464,0.15861904047118683,0.17,0.68,0.130907,0.01778454523606051,0.5,split
50,0.49230769230769234,wikipedia_en,10,0.225,0.06258327785172862,0.14,0.31,0.211005,0.008878235314059721,0.0,split
75,0.7384615384615385,humaneval,10,0.067,0.025407785333546005,0.02,0.11,0.44412,0.004743936638683959,0.0,split
75,0.7384615384615385,ultrachat,10,0.5640000000000001,0.16070677231114647,0.21,0.81,0.096414,0.021582879711252827,0.8,split
75,0.7384615384615385,wikipedia_en,10,0.365,0.08475454756727413,0.28,0.52,0.16107,0.009133899264602589,0.1,split
100,1.0,humaneval,1,0.61,0.0,0.61,0.61,0.08077999999999999,0.04554099521746952,1.0,endpoint_poisoned
100,1.0,ultrachat,1,1.0,0.0,1.0,1.0,1e-05,0.10055227177837057,1.0,endpoint_poisoned
100,1.0,wikipedia_en,1,1.0,0.0,1.0,1.0,0.0,0.06472014592570702,1.0,endpoint_poisoned
